title,link
國際愛吃海鮮要注意　美研究：恐增加攝入「永久化學物」風險,https://www.ettoday.net/news/20240417/2721428.htm
社會人夫激戰鄰座女同事拍性愛片　「電腦桌面放家庭照」讓她賠50萬,https://www.ettoday.net/news/20240417/2721466.htm
體育台鋼7月花蓮見！張肇元因疫情、地震2度告吹　陳文杰連2場MVP,https://sports.ettoday.net/news/2721511
大陸投資8億大橋「一吹就倒」！護欄大段倒塌　官方：可能風太大了,https://www.ettoday.net/news/20240417/2721492.htm
政治民進黨「堅韌之島」國際座談4／26登場　5月還有入黨活動,https://www.ettoday.net/news/20240417/2721440.htm
地方因應防汛季節南消六大防災備災超前部署　淹水潛勢地區搶救演練,https://www.ettoday.net/news/20240417/2721510.htm
國際登機時間01:15看不懂！　大馬大學生分不清凌晨下午「錯過飛機」,https://www.ettoday.net/news/20240417/2721484.htm
影劇Selina曝登記進度放話生三胎！　爆料Ella育兒沒原則,https://star.ettoday.net/news/2721399
國際醫師罷工！韓女胸痛「遭6間醫院拒收」　主動脈剝離拖6小時身亡,https://www.ettoday.net/news/20240417/2721474.htm
寵物動物回家見「蜥蜴尾巴斷掉」嚇爛　飼主驚恐拿起「閃亮銀色脫皮」觀察,https://pets.ettoday.net/news/2721040
政治暖男上身！韓國瑜接見以色列議員訪團　盼受難者安息、恢復和平,https://www.ettoday.net/news/20240417/2721495.htm
國際懸賞20萬弒父！狠心兒最後「自己來」痛毆老爸致死　判處終身監禁,https://www.ettoday.net/news/20240417/2721336.htm
熱門新聞,None
即／1千元打賭游到對岸！　失蹤高職生遺體找到了,https://www.ettoday.net/news/20240417/2721062.htm
女與男友爭吵突開車門跳車重摔　搶救3小時不治,https://www.ettoday.net/news/20240417/2721129.htm
吳卓源爆「無縫重疊?ZI分手舊愛」！親密照被挖,https://star.ettoday.net/news/2720977
幼兒園超狂「東京大阪7日遊」　網跪：心臟很大顆,https://www.ettoday.net/news/20240417/2721015.htm
好多年輕人罹大腸癌！　醫：出現6警訊不要拖,https://health.ettoday.net/news/2720589
,None
一粒分手4年學長男友！　不敵遠距親認「現正單身中」,https://star.ettoday.net/news/2720979
直擊校唱女王陳華巷內激吻！,https://star.ettoday.net/news/2720982
汪小菲求婚Mandy「前夫心寒發聲」！,https://star.ettoday.net/news/2720976
即／國1嚴重事故！貨櫃車衝到對向橫躺路中,https://www.ettoday.net/news/20240416/2720887.htm
出國玩領5000元！2024旅遊補助　申請方式一次看,https://www.ettoday.net/news/20240416/2720451.htm
,None
英超低調首富身價5800億　卻連公司櫃檯都不知道他,https://www.ettoday.net/news/20240417/2720969.htm
獨／高職生魂斷沙洲！堂姊、同學悲赴現場認屍淚崩,https://www.ettoday.net/news/20240417/2721299.htm
德州媽媽突發「不自殺聲明」！爆黃子佼案藏內鬼,https://star.ettoday.net/news/2721211
台灣東部海域02:59規模5「極淺層地震」,https://www.ettoday.net/news/20240417/2720959.htm
峮峮挨罵穿空姐裝像孕婦「本人落淚道歉了」！,https://star.ettoday.net/news/2721142
,None
最夯影音,None
孫藝真聽「孫仙」害羞：我只是平凡人　初次訪台甜喊「下次跟玄彬一起來」,None
LE SSERAFIM科切拉「開全麥翻車」　宮??良親回：展現過最棒的舞台,//boba.ettoday.net/videonews/420782
雨琦「模仿台灣腔」突然問號　和Minnie在高雄去按摩被認出,//boba.ettoday.net/videonews/420860
澎湖驚見2米長雨傘旗魚！　花蓮地震後又現1稀有物種,//boba.ettoday.net/videonews/420834
典典寶寶「WOW.YA」浮誇反應做好做滿　一直討嘴嘴吃..趙小僑.劉亮佐求救！,//boba.ettoday.net/videonews/420870
熱門快報,None
誰能稱霸？投票抽百項好禮,https://star.ettoday.net/news/2699601
房價飆漲！全台房市秘技大公開！,https://www.ettoday.net/feature/2021house
新聞雲APP寵粉不手軟,https://star.ettoday.net/news/2700994
專業明星師資、精湛教學！,https://ettoday.kaik.io/?utm_source=BNHO&utm_medium=ettoday
快來追蹤ETtoday！,https://news.google.com/publications/CAAqBggKMK-yNzCn6gc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
快來追蹤ETtoday！,https://news.google.com/publications/CAAqBggKMK-yNzCn6gc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
